trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_input_len,cfg_layer,cfg_num_heads,cfg_num_layers,cfg_prompt,metric_avg_entropy,metric_avg_top5_mass,metric_avg_top_prob,metric_budget_frac,metric_budget_tokens,metric_entropy_max,metric_entropy_mean,metric_entropy_min,metric_entropy_std,metric_focused_head_count,metric_h2o_quality,metric_h2o_vs_window,metric_layer,metric_max_top_prob,metric_memory_saved_pct,metric_min_top_prob,metric_most_diffuse_head_entropy,metric_most_focused_head_entropy,metric_num_tokens,metric_seq_len,metric_sink_mass_max,metric_sink_mass_mean,metric_sink_quality,metric_skip_rate_50,metric_skip_rate_80,metric_skip_rate_90,metric_skip_rate_95,metric_skip_rate_99,metric_sparsity_mean,metric_window_quality
real_model_analysis_phi_2_t0001,completed,0.0015,,head_analysis,47,,32,32,code_simple,,,,,,nan,nan,nan,nan,0,,,,,,,nan,nan,,,nan,nan,,,,,,,0.11351378262042999,
real_model_analysis_phi_2_t0002,completed,0.0000,,token_confidence_real,47,,,,code_simple,nan,nan,nan,,,,,,,,,,,nan,,nan,,,30,,,,,0.0,0.0,0.0,0.0,0.0,,
real_model_analysis_phi_2_t0003,completed,0.0000,0.1,kv_cache_real,,0,,,code_simple,,,,0.1,4,,,,,,0.2583020905755361,11.510269321966717,0,,90.0,,,,,47,,,0.134627165112564,,,,,,,0.022441011878199996
real_model_analysis_phi_2_t0004,completed,0.0000,0.1,kv_cache_real,,1,,,code_simple,,,,0.1,4,,,,,,0.4753792153720275,24.48624183000772,1,,90.0,,,,,47,,,0.13128267399543,,,,,,,0.019414135442763353
real_model_analysis_phi_2_t0005,completed,0.0000,0.1,kv_cache_real,,2,,,code_simple,,,,0.1,4,,,,,,0.7625975480587784,118.25547266543364,2,,90.0,,,,,47,,,0.31843785128461105,,,,,,,0.0064487294403389375
real_model_analysis_phi_2_t0006,completed,0.0000,0.1,kv_cache_real,,3,,,code_simple,,,,0.1,4,,,,,,0.859317698377244,321.544834131544,3,,90.0,,,,,47,,,0.3692796179588805,,,,,,,0.0026724661918396645
real_model_analysis_phi_2_t0007,completed,0.0000,0.1,kv_cache_real,,4,,,code_simple,,,,0.1,4,,,,,,0.8587277850171194,239.71805080703047,4,,90.0,,,,,47,,,0.3769486465767834,,,,,,,0.0035822408121797336
real_model_analysis_phi_2_t0008,completed,0.0000,0.1,kv_cache_real,,5,,,code_simple,,,,0.1,4,,,,,,0.8148136815322171,160.77867819156273,5,,90.0,,,,,47,,,0.38355216494236216,,,,,,,0.0050679212610604514
real_model_analysis_phi_2_t0009,completed,0.0000,0.1,kv_cache_real,,6,,,code_simple,,,,0.1,4,,,,,,0.8443382405578364,204.7901452312949,6,,90.0,,,,,47,,,0.3859350318560256,,,,,,,0.004122943707101826
real_model_analysis_phi_2_t0010,completed,0.0000,0.1,kv_cache_real,,7,,,code_simple,,,,0.1,4,,,,,,0.8510240370185377,226.00295850539993,7,,90.0,,,,,47,,,0.3929041715493526,,,,,,,0.003765543790428761
real_model_analysis_phi_2_t0011,completed,0.0000,0.1,kv_cache_real,,8,,,code_simple,,,,0.1,4,,,,,,0.8731912024215401,313.03839669055895,8,,90.0,,,,,47,,,0.38383385464883074,,,,,,,0.002789406065367428
real_model_analysis_phi_2_t0012,completed,0.0000,0.1,kv_cache_real,,9,,,code_simple,,,,0.1,4,,,,,,0.8499954548627288,209.78819411813174,9,,90.0,,,,,47,,,0.3777336159975846,,,,,,,0.004051683930241071
real_model_analysis_phi_2_t0013,completed,0.0000,0.1,kv_cache_real,,10,,,code_simple,,,,0.1,4,,,,,,0.8339805982053629,192.51691268933635,10,,90.0,,,,,47,,,0.39238747034592425,,,,,,,0.004331986143737685
real_model_analysis_phi_2_t0014,completed,0.0000,0.1,kv_cache_real,,11,,,code_simple,,,,0.1,4,,,,,,0.7877128920199987,153.36228438466136,11,,90.0,,,,,47,,,0.37528869878579313,,,,,,,0.005136288202673527
real_model_analysis_phi_2_t0015,completed,0.0000,0.1,kv_cache_real,,12,,,code_simple,,,,0.1,4,,,,,,0.8305090812402847,151.16725055486114,12,,90.0,,,,,47,,,0.3861605722492984,,,,,,,0.005493974906548155
real_model_analysis_phi_2_t0016,completed,0.0000,0.1,kv_cache_real,,13,,,code_simple,,,,0.1,4,,,,,,0.8597679752015137,167.29085045077701,13,,90.0,,,,,47,,,0.3972632514638717,,,,,,,0.0051393604186051305
real_model_analysis_phi_2_t0017,completed,0.0000,0.1,kv_cache_real,,14,,,code_simple,,,,0.1,4,,,,,,0.8200332268976355,130.00909353749225,14,,90.0,,,,,47,,,0.38594943274921534,,,,,,,0.006307506687300707
