trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_input_len,cfg_layer,cfg_num_heads,cfg_num_layers,cfg_prompt,metric_avg_entropy,metric_avg_top5_mass,metric_avg_top_prob,metric_budget_frac,metric_budget_tokens,metric_entropy_max,metric_entropy_mean,metric_entropy_min,metric_entropy_std,metric_focused_head_count,metric_h2o_quality,metric_h2o_vs_window,metric_layer,metric_max_top_prob,metric_memory_saved_pct,metric_min_top_prob,metric_most_diffuse_head_entropy,metric_most_focused_head_entropy,metric_nonfinite_token_steps,metric_num_tokens,metric_seq_len,metric_sink_mass_max,metric_sink_mass_mean,metric_sink_quality,metric_skip_rate_50,metric_skip_rate_80,metric_skip_rate_90,metric_skip_rate_95,metric_skip_rate_99,metric_sparsity_mean,metric_valid_tokens,metric_window_quality
real_model_analysis_phi_2_t0001,completed,0.0011,,head_analysis,47,,32,32,code_simple,,,,,,2.793757677078247,1.2491083145141602,1.4971521977713564e-07,0.4561251401901245,511,,,,,,,2.793757677078247,1.4971521977713564e-07,,,,0.5588638782501221,0.36960047483444214,,,,,,,0.1370069831609726,,
real_model_analysis_phi_2_t0002,completed,0.0000,,token_confidence_real,47,,,,code_simple,1.1531175995090355,0.8819474478562673,0.7216124000648657,,,,,,,,,,,0.9999841451644897,,0.0889914333820343,,,0,30,,,,,0.7333333333333333,0.6,0.43333333333333335,0.4,0.26666666666666666,,30,
real_model_analysis_phi_2_t0003,completed,0.0000,0.1,kv_cache_real,,0,,,code_simple,,,,0.1,4,,,,,,0.25866060002543684,11.540876538713903,0,,90.0,,,,,,47,,,0.13454411234871105,,,,,,,,0.022412561052686002
real_model_analysis_phi_2_t0004,completed,0.0000,0.1,kv_cache_real,,1,,,code_simple,,,,0.1,4,,,,,,0.47570668847073944,24.577488955169194,1,,90.0,,,,,,47,,,0.13110736630923375,,,,,,,,0.01935538204649209
real_model_analysis_phi_2_t0005,completed,0.0000,0.1,kv_cache_real,,2,,,code_simple,,,,0.1,4,,,,,,0.7618639709677985,118.42874840024255,2,,90.0,,,,,,47,,,0.31802411379776285,,,,,,,,0.00643309991247225
real_model_analysis_phi_2_t0006,completed,0.0000,0.1,kv_cache_real,,3,,,code_simple,,,,0.1,4,,,,,,0.8593001679585861,321.74864467453784,3,,90.0,,,,,,47,,,0.3689153972643034,,,,,,,,0.0026707188427407486
real_model_analysis_phi_2_t0007,completed,0.0000,0.1,kv_cache_real,,4,,,code_simple,,,,0.1,4,,,,,,0.8587315135632136,242.23215680270053,4,,90.0,,,,,,47,,,0.37787474805980076,,,,,,,,0.0035450764460750574
real_model_analysis_phi_2_t0008,completed,0.0000,0.1,kv_cache_real,,5,,,code_simple,,,,0.1,4,,,,,,0.8145507730067724,160.91443872406515,5,,90.0,,,,,,47,,,0.38377038841885863,,,,,,,,0.005062011709238584
real_model_analysis_phi_2_t0009,completed,0.0000,0.1,kv_cache_real,,6,,,code_simple,,,,0.1,4,,,,,,0.8437666636744761,203.29613125690784,6,,90.0,,,,,,47,,,0.3857108316704491,,,,,,,,0.004150431483657688
real_model_analysis_phi_2_t0010,completed,0.0000,0.1,kv_cache_real,,7,,,code_simple,,,,0.1,4,,,,,,0.8516255858565731,229.01513150243824,7,,90.0,,,,,,47,,,0.39516429145088705,,,,,,,,0.0037186433065341195
