trial_id,status,duration_s,cfg_exit_layer,cfg_exit_position,cfg_hidden_dim,cfg_model,cfg_num_layers,metric_acceptance_rate,metric_compute_saved_pct,metric_cosine_similarity,metric_effective_speedup,metric_layers_saved,metric_mse
self_speculative_decoding_t0001,completed,0.0064,1,0.083,768,12L-768H,12,0.0,83.33333333333334,0.41594037413597107,3.0,10,0.8278113603591919
self_speculative_decoding_t0002,completed,0.0032,2,0.167,768,12L-768H,12,0.0,75.0,0.656669557094574,2.4000000000000004,9,0.60657799243927
self_speculative_decoding_t0003,completed,0.0053,3,0.25,768,12L-768H,12,0.0,66.66666666666666,0.8036789894104004,2.0,8,0.4453122913837433
self_speculative_decoding_t0004,completed,0.0055,4,0.333,768,12L-768H,12,0.00078125,58.333333333333336,0.8748664855957031,1.7142857142857142,7,0.3317461311817169
self_speculative_decoding_t0005,completed,0.0050,5,0.417,768,12L-768H,12,1.0,50.0,0.9383082389831543,1.4999999999999998,6,0.22502641379833221
self_speculative_decoding_t0006,completed,0.0046,6,0.5,768,12L-768H,12,1.0,41.66666666666667,0.9667804837226868,1.3333333333333333,5,0.14953114092350006
self_speculative_decoding_t0007,completed,0.0055,7,0.583,768,12L-768H,12,1.0,33.33333333333333,0.983113169670105,1.2,4,0.0919756069779396
self_speculative_decoding_t0008,completed,0.0048,8,0.667,768,12L-768H,12,1.0,25.0,0.9847702980041504,1.090909090909091,3,0.059831567108631134
self_speculative_decoding_t0009,completed,0.0030,9,0.75,768,12L-768H,12,1.0,16.666666666666664,0.9971677660942078,1.0,2,0.021477166563272476
self_speculative_decoding_t0010,completed,0.0065,10,0.833,768,12L-768H,12,1.0,8.333333333333332,0.9994058609008789,0.9230769230769229,1,0.005203120410442352
self_speculative_decoding_t0011,completed,0.0115,1,0.042,1024,24L-1024H,24,0.0,91.66666666666666,0.2434486448764801,3.4285714285714284,22,0.9870399236679077
self_speculative_decoding_t0012,completed,0.0047,2,0.083,1024,24L-1024H,24,0.0,87.5,0.4044431746006012,3.0,21,0.8385685682296753
self_speculative_decoding_t0013,completed,0.0071,3,0.125,1024,24L-1024H,24,0.0,83.33333333333334,0.5356054902076721,2.6666666666666665,20,0.7207222580909729
self_speculative_decoding_t0014,completed,0.0079,4,0.167,1024,24L-1024H,24,0.0,79.16666666666666,0.6247749328613281,2.4000000000000004,19,0.6338197588920593
